country,neighbor_list,list_len,centr_lat,centr_long,UTM_grid_cells
AD,ES FR,2,1.561736,42.536035,31T
AE,OM SA,2,55.137115,24.352618,39Q 40Q 39R 40R
AF,CN IR PK TJ TM UZ,6,65.177836,33.932827,41R 42R 41S 42S 43S
AG,,0,-61.788215,17.079169,20Q
AI,,0,-63.04297,18.223904,20Q
AL,GR ME MK,3,20.006494,41.145639,34S 34T
AM,AZ GE IR TR,4,44.836592,40.078873,38S 38T
AO,CD CG NA ZM,4,18.863642,-11.931492,32K 33K 34K 32L 33L 34L 35L 33M 34M
AQ,,0,66.275352,-76.605645,
AR,BO BR CL PY UY,5,-63.969882,-37.0905,18F 19F 20F 18G 19G 20G 19H 20H 21H 19J 20J 21J 22J 19K 20K
AS,,0,-170.753448,-14.31113,2L
AT,CH CZ DE HU IT LI SI SK,8,14.7636,47.694583,32T 33T 33U
AU,,0,133.081126,-24.922906,57F 54G 55G 50H 51H 52H 53H 54H 55H 56H 49J 50J 51J 52J 53J 54J 55J 56J 57J 49K 50K 51K 52K 53K 54K 55K 56K 51L 52L 53L 54L 55L
AW,,0,-69.984936,12.527045,19P
AX,,0,19.931753,60.228644,34V
AZ,AM GE IR RU TR,5,47.725755,40.137038,38S 39S 38T 39T
BA,HR ME RS,3,17.935682,43.919,33T 34T
BB,,0,-59.56616,13.193671,21P
BD,IN MM,2,89.859338,23.677716,45Q 46Q 45R 46R
BE,DE FR LU NL,4,4.842478,50.498211,31U 32U
BF,BJ CI GH ML NE TG,6,-1.210976,12.222614,30P 31P
BG,GR MK RO RS TR,5,25.189683,42.732225,34T 35T
BH,,0,50.544787,26.002082,39R
BI,CD RW TZ,3,29.91783,-3.384587,35M 36M
BJ,BF NE NG TG,4,2.281029,9.306792,31N 31P
BL,,0,-62.829163,17.910447,20Q
BM,,0,-64.728025,32.319199,20S
BN,MY,1,114.468436,4.537941,49N 50N
BO,AR BR CL PE PY,5,-64.285795,-16.287842,19K 20K 21K 19L 20L
BQ,NL,1,-68.246409,12.170111,19P 20Q
BR,AR BO CO GF GY PE PY SR UY VE,10,-49.728011,-14.238862,22H 21J 22J 23J 20K 21K 22K 23K 24K 26K 18L 19L 20L 21L 22L 23L 24L 25L 18M 19M 20M 21M 22M 23M 24M 25M 19N 20N 21N 22N 26N
BS,,0,-78.335492,26.65282,17Q 18Q 17R 18R
BT,CN IN,2,90.295732,27.523971,45R 46R
BV,,0,3.411215,-54.42726,31F
BW,NA ZA ZM ZW,4,24.471441,-22.345302,34J 35J 34K 35K
BY,LT LV PL RU UA,5,28.018729,53.699437,34U 35U 36U 35V
BZ,GT MX,2,-88.724412,17.197557,16P 16Q
CA,US,1,-110.430876,56.83692,16T 17T 18T 19T 20T 21T 22T 8U 9U 10U 11U 12U 13U 14U 15U 16U 17U 18U 19U 20U 21U 22U 7V 8V 9V 10V 11V 12V 13V 14V 15V 16V 17V 18V 19V 20V 7W 8W 9W 10W 11W 12W 13W 14W 15W 16W 17W 18W 19W 20W 10X 11X 12X 13X 14X 15X 16X 17X 18X 19X 20X
CC,,0,96.916266,-12.177789,47L
CD,AO BI CF CG RW SS TZ UG ZM,9,22.43358,-4.042129,33L 34L 35L 36L 33M 34M 35M 36M 33N 34N 35N 36N
CF,CD CG CM SD SS TD,6,20.633118,6.614791,33N 34N 35N 33P 34P 35P
CG,AO CD CF CM GA,5,16.067918,-0.654223,32M 33M 33N 34N
CH,AT DE FR IT LI,5,8.427001,46.81195,31T 32T
CI,BF GH GN LR ML,5,-5.692674,7.519516,29N 30N 29P 30P
CK,,0,-159.786797,-21.221531,4K 3L 4L
CL,AR BO PE,3,-71.496396,-35.710341,18F 19F 18G 19G 17H 18H 19H 12J 13J 17J 19J 19K
CM,CF CG GA GQ NG TD,6,13.610936,7.372445,32N 33N 33P
CN,AF BT HK IN KG KP KZ LA MM MN NP PK RU TJ VN,15,98.603916,36.903673,47Q 48Q 49Q 50Q 44R 45R 46R 47R 48R 49R 50R 51R 43S 44S 45S 46S 47S 48S 49S 50S 51S 43T 44T 45T 46T 47T 48T 49T 50T 51T 52T 53T 45U 50U 51U 52U 53U
CO,BR EC PA PE VE,5,-72.586188,4.113469,18M 19M 17N 18N 19N 17P 18P 19P
CR,NI PA,2,-83.6334,9.621019,16N 16P 17P
CU,,0,-77.952163,21.519761,16Q 17Q 18Q
CV,,0,-25.180217,17.062405,26P 27P 26Q 27Q
CW,,0,-69.034533,12.212063,19P
CX,,0,105.649735,-10.496352,48L
CY,,0,32.979947,34.904893,36S
CZ,AT DE PL SK,4,15.512592,49.80045,33U 34U
DE,AT BE CH CZ DK FR LU NL PL,9,10.481226,51.085126,32T 33T 31U 32U 33U
DJ,ER ET,2,42.496292,11.819935,37P 38P
DK,DE,1,9.260474,56.274339,32U 33U 32V 33V
DM,,0,-61.345435,15.42534,20P
DO,HT,1,-70.125279,18.776548,18Q 19Q
DZ,EH LY MA ML MR NE TN,7,0.587503,28.050989,30Q 31Q 32Q 29R 30R 31R 32R 30S 31S 32S
EC,CO PE,2,-78.28143,-1.788719,15M 16M 17M 18M 15N 17N 18N
EE,LV RU,2,25.49317,58.588487,34V 35V
EG,IL LY PS SD,4,29.464138,26.824388,35Q 36Q 37Q 35R 36R
EH,DZ MA MR,3,-12.592973,24.200255,28Q 28R 29R
ER,DJ ET SD,3,38.083834,15.18181,37P 38P 37Q
ES,AD FR GI MA PT,5,-3.476525,39.899477,27R 28R 29S 30S 31S 29T 30T 31T
ET,DJ ER KE SD SO SS,6,38.969065,9.129095,36N 37N 38N 36P 37P 38P
FI,NO RU SE,3,27.415728,64.943895,34V 35V 36V 34W 35W 36W
FJ,,0,177.985774,-17.792006,1K 60K 60L
FK,,0,-58.613886,-51.794244,20F 21F
FM,,0,158.247463,6.885037,55N 56N 57N 58N 54P 55P 56P
FO,,0,-6.788307,62.199184,29V
FR,AD BE CH DE ES IT LU MC,8,2.187589,46.70585,30T 31T 32T 30U 31U 32U
GA,CG CM GQ,3,11.7338,-0.815199,32M 33M 32N 33N
GB,IE,1,-1.911652,54.314093,29U 30U 31U 28V 29V 30V
GD,,0,-61.677481,12.123318,20P
GE,AM AZ RU TR,4,43.636963,42.286955,37T 38T
GF,BR SR,2,-53.036559,3.926028,21N 22N
GG,,0,-2.568465,49.472846,30U
GH,BF CI TG,3,-1.077206,7.951841,30N 31N 30P 31P
GI,ES,1,-5.346276,36.126837,30S
GL,,0,-40.333424,71.811001,22V 23V 24V 21W 22W 23W 24W 25W 26W 27W 18X 19X 20X 21X 22X 23X 24X 25X 26X 27X 28X 29X
GM,SN,1,-14.340472,13.442776,28P
GN,CI GW LR ML SL SN,6,-9.675994,9.932263,29N 28P 29P
GP,,0,-61.669261,16.153713,20P 20Q
GQ,CM GA,2,10.473701,1.630601,31M 32N
GR,AL BG MK TR,4,21.952676,39.070319,34S 35S 34T 35T
GS,,0,-36.492154,-54.429783,26E 24F 25F
GT,BZ HN MX SV,4,-90.28683,15.773892,15P 16P 15Q 16Q
GU,,0,144.760552,13.459621,55P
GW,GN SN,2,-14.354135,11.801785,28P
GY,BR SR VE,3,-58.956256,4.862495,20N 21N 20P 21P
HK,CN,1,114.055998,22.4112,49Q 50Q
HM,,0,73.522869,-53.082533,43F
HN,GT NI SV,3,-87.230454,14.504658,16P 17P 16Q 17Q
HR,BA HU ME RS SI,5,15.32158,44.745124,33T 34T
HT,DO,1,-72.283423,18.982047,18Q 19Q
HU,AT HR RO RS SI SK UA,7,19.119192,47.157988,33T 34T 33U 34U
ID,MY PG TL,3,113.32523,0.104906,49L 50L 51L 52L 53L 54L 47M 48M 49M 50M 51M 52M 53M 54M 46N 47N 48N 49N 50N 51N 52N 53N
IE,GB,1,-7.958242,53.416063,29U 30U
IL,EG JO LB PS XD,5,34.662719,31.446164,36R 36S
IM,,0,-4.509971,54.238654,30U
IN,BD BT CN MM NP PK,6,80.226507,21.78675,46N 43P 44P 46P 42Q 43Q 44Q 45Q 46Q 42R 43R 44R 45R 46R 47R 43S 44S
IO,,0,71.34757,-6.192315,42M 43M
IQ,IR JO KW SA SY TR,6,42.492107,33.221449,37R 38R 39R 37S 38S
IR,AF AM AZ IQ PK TM TR,7,54.07558,32.421666,38R 39R 40R 41R 38S 39S 40S 41S
IS,,0,-18.467648,64.964708,27V 28V 26W 27W 28W
IT,AT CH FR SI SM VA,6,12.692035,42.492487,32S 33S 34S 32T 33T 34T
JE,,0,-2.122384,49.218329,30U
JM,,0,-77.175826,18.119147,17Q 18Q
JO,IL IQ PS SA SY XD,6,36.299705,31.26985,36R 37R 36S 37S
JP,,0,143.337655,43.462124,51R 52R 54R 56R 52S 53S 54S 54T 55T
KE,ET SO SS TZ UG,5,37.447921,0.154824,36M 37M 36N 37N
KG,CN KZ TJ UZ,4,75.069747,41.224668,42S 43S 42T 43T 44T
KH,LA TH VN,3,105.102628,12.558769,48P
KI,,0,-155.894622,-5.620945,5L 1M 2M 5M 59M 60M 4N 59N
KM,,0,44.418786,-12.225844,38L
KN,,0,-62.749473,17.31741,20Q
KP,CN RU,2,126.744403,40.342739,51S 52S 51T 52T
KR,,0,127.991405,36.435943,51S 52S
KW,IQ SA,2,47.417742,29.314305,38R 39R
KY,,0,-81.181092,19.329474,17Q
KZ,CN KG RU TM UZ,5,66.325899,48.010869,38T 39T 40T 41T 42T 43T 44T 45T 38U 39U 40U 41U 42U 43U 44U 45U
LA,CN KH MM TH VN,5,104.683522,18.205505,48P 47Q 48Q
LB,IL SY XD,3,35.906935,33.8692,36S 37S
LC,,0,-60.977701,13.913153,20P
LI,AT CH,2,9.535103,47.157355,32T
LK,,0,80.667331,7.878892,44N 44P
LR,CI GN SL,3,-9.685196,6.455679,29N 29P
LS,ZA,1,28.164363,-29.615297,35J
LT,BY LV PL RU,4,24.146873,55.172732,34U 35U 34V 35V
LU,BE DE FR,3,6.06511,49.807038,31U 32U
LV,BY EE LT RU,4,24.383288,56.868029,35U 34V 35V
LY,DZ EG NE SD TD TN,6,17.231614,26.342579,32Q 33Q 34Q 35Q 32R 33R 34R 35R 32S 33S 34S 35S
MA,DZ EH ES,3,-9.906297,28.679755,28Q 28R 29R 30R 29S 30S
MC,FR,1,7.402929,43.741607,32T
MD,RO UA,2,28.82301,46.973012,35T 36T 35U
ME,AL BA HR RS,4,19.289449,42.70141,34T
MF,SX,1,-63.0587,18.076728,20Q
MG,,0,46.728567,-18.769016,38J 38K 39K 38L 39L
MH,,0,166.866863,11.157213,59N 58P 59P
MK,AL BG GR RS,4,21.731021,41.605149,34T
ML,BF CI DZ GN MR NE SN,7,-0.75406,17.605671,28P 29P 30P 31P 29Q 30Q 31Q 29R 30R
MM,BD CN IN LA TH,5,95.908278,19.261836,46P 47P 46Q 47Q 46R 47R
MN,CN RU,2,105.408426,46.858691,45T 46T 47T 48T 49T 50T 45U 46U 47U 48U 49U 50U
MO,,0,113.559434,22.136176,49Q
MP,,0,145.213343,14.158433,55P 55Q
MQ,,0,-61.018149,14.644334,20P
MR,DZ EH ML SN,4,-11.482648,21.01144,28P 29P 30P 28Q 29Q 30Q 28R 29R 30R
MS,,0,-62.188131,16.752305,20Q
MT,,0,14.438141,35.895006,33S
MU,,0,57.583003,-20.253635,40K 41K 40L
MV,,0,73.533864,4.199475,43M 43N
MW,MZ TZ ZM,3,33.736266,-13.275364,36K 36L
MX,BZ GT US,3,-102.25815,23.629266,14P 15P 11Q 12Q 13Q 14Q 15Q 16Q 11R 12R 13R 14R 11S 12S
MY,BN ID TH,3,102.111531,3.989447,47N 48N 49N 50N
MZ,MW SZ TZ ZA ZM ZW,6,34.671062,-18.637466,36J 36K 37K 36L 37L
NA,AO BW ZA ZM ZW,5,17.233769,-22.957493,33J 34J 32K 33K 34K 35K
NC,,0,165.242432,-21.233819,58K 59K
NE,BF BJ DZ LY ML NG TD,7,9.883111,17.603552,31P 32P 33P 31Q 32Q 33Q
NF,,0,167.956946,-29.039483,58J
NG,BJ CM NE TD,4,7.932629,9.076217,31N 32N 33N 31P 32P 33P
NI,CR HN,2,-85.558043,12.84573,16P 17P
NL,BE BQ DE,3,5.516407,52.105632,19P 20Q 31U 32U
NO,FI RU SE,3,12.674646,64.562445,32V 33V 33W 34W 35W 36W 32W
NP,CN IN,2,83.103107,28.376628,44R 45R
NR,,0,166.932518,-0.521254,58M
NU,,0,-169.864314,-19.058038,2K
NZ,,0,171.234351,-43.595473,58F 59F 60F 1G 58G 59G 60G 59H 60H 1J
OM,AE SA YE,3,56.96465,20.817328,39Q 40Q 40R
PA,CO CR,2,-81.467307,8.417209,17N 18N 17P 18P
PE,BO BR CL CO EC,5,-75.76765,-9.183418,18K 19K 17L 18L 19L 17M 18M 19M
PF,,0,-139.014929,-9.782159,6J 5K 6K 7K 8K 5L 6L 7L 7M
PG,ID,1,144.361787,-6.639904,54L 55L 56L 54M 55M 56M
PH,,0,125.244328,7.698004,50N 51N 52N 50P 51P 52P 50Q 51Q
PK,AF CN IN IR,4,70.086685,30.380059,42Q 41R 42R 43R 42S 43S
PL,BY CZ DE LT RU SK UA,7,19.156272,51.91992,33U 34U 35U
PM,,0,-56.193755,46.781623,21T
PN,,0,-128.316888,-24.368707,9J 10J 9K
PR,,0,-66.401489,18.221162,19Q 20Q
PS,EG IL JO,3,35.26273,31.940584,36R 36S
PT,ES,1,-8.291573,39.565077,28R 25S 26S 28S 29S 29T
PW,,0,134.580892,7.544277,52N 53N 53P
PY,AR BO BR,3,-58.471964,-23.43862,20J 21J 20K 21K
QA,SA,1,51.137942,25.363654,39R
RE,,0,55.544243,-21.119073,40K
RO,BG HU MD RS UA,5,24.247825,45.961692,34T 35T 34U 35U
RS,BA BG HR HU ME MK RO,7,20.997241,44.205675,34T
RU,AZ BY CN EE FI GE KP KZ LT LV MN NO PL UA,14,88.387471,59.464613,37T 38T 39T 52T 53T 54T 55T 56T 34U 35U 36U 37U 38U 39U 40U 41U 42U 43U 44U 45U 46U 47U 48U 49U 50U 51U 52U 53U 54U 55U 56U 57U 58U 59U 35V 36V 37V 38V 39V 40V 41V 42V 43V 44V 45V 46V 47V 48V 49V 50V 51V 52V 53V 54V 55V 56V 57V 58V 59V 60V 1W 2W 35W 36W 37W 38W 39W 40W 41W 42W 43W 44W 45W 46W 47W 48W 49W 50W 51W 52W 53W 54W 55W 56W 57W 58W 59W 60W 37X 38X 39X 40X 41X 42X 43X 44X 45X 46X 47X 48X 49X 50X 51X 52X 53X 54X 55X 56X 57X
RW,BI CD TZ UG,4,29.980747,-1.947322,35M 36M
SA,AE IQ JO KW OM QA YE,7,44.662977,24.244137,37Q 38Q 39Q 40Q 36R 37R 38R 39R 37S
SB,,0,160.148152,-9.588718,57L 58L 59L 56M 57M
SC,,0,46.349599,-9.341607,38L 39M 40M
SD,CF EG ER ET LY SS TD,7,29.777319,15.450595,34P 35P 36P 37P 34Q 35Q 36Q 37Q
SE,FI NO,2,14.905118,62.194525,33U 32V 33V 34V 33W 34W 35W
SG,,0,103.830541,1.364549,48N
SH,,0,-12.265179,-37.101332,29G 28H 30K 30L 28M
SI,AT HR HU IT,4,14.615938,46.150207,33T
SJ,,0,22.696976,79.851772,33X 35X 37X
SK,AT CZ HU PL UA,5,19.645039,48.674653,33T 34T 33U 34U
SL,GN LR,2,-11.890191,8.459639,28N 29N 28P 29P
SM,IT,1,12.438195,43.934182,33T
SN,GM GN GW ML MR,5,-14.657245,14.488578,28P 29P 28Q
SO,ET KE,2,46.757128,5.127953,37M 38M 37N 38N 39N 38P 39P
SR,BR GF GY,3,-56.118701,3.926028,21N 22N
SS,CD CF ET KE SD UG,6,29.117793,7.857842,35N 36N 35P 36P
ST,,0,6.601187,0.215522,32N
SV,GT HN,2,-88.911827,13.806226,15P 16P
SX,MF,1,-63.06954,18.039496,20Q
SY,IQ JO LB TR XD,5,38.561824,34.808133,36S 37S 38S
SZ,MZ ZA,2,31.447852,-26.539568,36J
TC,,0,-71.757437,21.803778,18Q 19Q
TD,CF CM LY NE NG SD,6,18.53982,15.444343,33N 33P 34P 33Q 34Q
TF,,0,70.224511,-49.188165,42F 39G 43H 37K 38K 38L 40L
TG,BF BJ GH,3,1.015124,8.634474,31N 30P 31P
TH,KH LA MM MY,4,101.693023,13.032381,47N 48N 47P 48P 47Q 48Q
TJ,AF CN KG UZ,4,70.928042,38.86113,42S 43S 42T
TK,,0,-171.193481,-9.347507,2L
TL,ID,1,125.763978,-8.881077,51L 52L
TM,AF IR KZ UZ,4,59.015316,38.966071,39S 40S 41S 42S 39T 40T 41T
TN,DZ LY,2,8.862725,33.791414,32R 32S
TO,,0,-175.283292,-21.16607,1K 2K 1L
TR,AM AZ BG GE GR IQ IR SY,8,35.478536,38.961047,35S 36S 37S 38S 35T 36T 37T 38T
TT,,0,-61.25956,10.439989,20P
TV,,0,178.684371,-7.479669,60L 60M
TW,,0,120.827918,23.616649,50Q 51Q 50R 51R
TZ,BI CD KE MW MZ RW UG ZM,8,34.208864,-6.354118,36L 37L 35M 36M 37M
UA,BY HU MD PL RO RU SK,7,33.905713,48.375369,34T 35T 36T 37T 34U 35U 36U 37U
UG,CD KE RW SS TZ,5,32.684104,1.380168,35M 36M 35N 36N
UM,,0,-162.071003,5.880357,4M 1N 3N 2Q 18Q 58Q 1R
US,CA MX,2,-99.698428,37.246365,3Q 4Q 5Q 1R 2R 3R 12R 13R 14R 15R 16R 17R 10S 11S 12S 13S 14S 15S 16S 17S 18S 10T 11T 12T 13T 14T 15T 16T 17T 18T 19T 1U 2U 3U 4U 5U 8U 9U 10U 11U 12U 13U 14U 15U 16U 59U 60U 2V 3V 4V 5V 6V 7V 8V 9V 2W 3W 4W 5W 6W 7W
UY,AR BR,2,-55.818656,-32.526632,21H 22H 21J 22J
UZ,AF KG KZ TJ TM,5,63.38958,41.371429,41S 42S 40T 41T 42T 43T
VA,IT,1,12.453377,41.903228,33T
VC,,0,-61.197048,13.26317,20P
VE,BR CO GY,3,-65.410331,6.42063,18N 19N 20N 18P 19P 20P 21P
VG,,0,-64.641933,18.418463,20Q
VI,,0,-64.757422,17.732978,20Q
VN,CN KH LA,3,107.852854,15.962429,48P 49P 48Q 49Q
VU,,0,168.354234,-17.675144,58K 59K 58L 59L
WF,,0,-178.152214,-14.262628,1L
WS,,0,-172.430571,-13.63539,2L
XD,IL JO LB SY,4,35.856762,33.092051,36S
YE,OM SA,2,47.485855,15.802395,38P 39P 40P 38Q 39Q
YT,,0,45.14498,-12.82171,38L
ZA,BW LS MZ NA SZ ZW,6,26.120892,-28.474592,37G 33H 34H 35H 33J 34J 35J 36J 35K 36K
ZM,AO BW CD MW MZ NA TZ ZW,8,25.41524,-13.125503,34K 35K 34L 35L 36L
ZW,BW MZ NA ZA ZM,5,29.328272,-19.007624,35K 36K 35L 36L
